Angulo:10
t=0.311,posx=4.48226 , posy=0.544737 , velx=3.15724 , vely=-1.00707
t=0.312,posx=4.48541 , posy=0.543727 , velx=3.14681 , vely=-1.01373
t=0.313,posx=4.48855 , posy=0.54271 , velx=3.13644 , vely=-1.02037
t=0.314,posx=4.49168 , posy=0.541686 , velx=3.12612 , vely=-1.027
t=0.315,posx=4.4948 , posy=0.540656 , velx=3.11586 , vely=-1.03361
t=0.316,posx=4.49791 , posy=0.539619 , velx=3.10566 , vely=-1.04021
t=0.317,posx=4.50101 , posy=0.538576 , velx=3.09552 , vely=-1.0468
t=0.318,posx=4.5041 , posy=0.537525 , velx=3.08543 , vely=-1.05337
t=0.319,posx=4.50718 , posy=0.536469 , velx=3.0754 , vely=-1.05993
t=0.32,posx=4.51025 , posy=0.535406 , velx=3.06542 , vely=-1.06647
t=0.321,posx=4.51331 , posy=0.534336 , velx=3.0555 , vely=-1.07301
t=0.322,posx=4.51636 , posy=0.53326 , velx=3.04563 , vely=-1.07953
t=0.323,posx=4.51941 , posy=0.532177 , velx=3.03582 , vely=-1.08603
t=0.324,posx=4.52244 , posy=0.531087 , velx=3.02606 , vely=-1.09252
t=0.325,posx=4.52546 , posy=0.529992 , velx=3.01635 , vely=-1.099
t=0.326,posx=4.52847 , posy=0.528889 , velx=3.00669 , vely=-1.10547
t=0.327,posx=4.53147 , posy=0.527781 , velx=2.99708 , vely=-1.11192
t=0.328,posx=4.53446 , posy=0.526666 , velx=2.98753 , vely=-1.11836
t=0.329,posx=4.53745 , posy=0.525544 , velx=2.97802 , vely=-1.12478
t=0.33,posx=4.54042 , posy=0.524416 , velx=2.96857 , vely=-1.1312
t=0.331,posx=4.54338 , posy=0.523282 , velx=2.95916 , vely=-1.1376
t=0.332,posx=4.54634 , posy=0.522141 , velx=2.94981 , vely=-1.14398
t=0.333,posx=4.54928 , posy=0.520994 , velx=2.9405 , vely=-1.15036
t=0.334,posx=4.55222 , posy=0.51984 , velx=2.93124 , vely=-1.15672
t=0.335,posx=4.55514 , posy=0.51868 , velx=2.92202 , vely=-1.16307
t=0.336,posx=4.55806 , posy=0.517514 , velx=2.91286 , vely=-1.1694
t=0.337,posx=4.56097 , posy=0.516342 , velx=2.90374 , vely=-1.17573
